codigo,codigo_formatado,descricao
172101,17.21.01,Estatística.
172201,17.22.01,Cobrança em geral.
172301,17.23.01,"Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring)."
172401,17.24.01,"Apresentação de palestras, conferências, seminários e congêneres."
172501,17.25.01,"Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita)."
180101,18.01.01,Serviços de regulação de sinistros vinculados a contratos de seguros e congêneres.
180102,18.01.02,Serviços de inspeção e avaliação de riscos para cobertura de contratos de seguros e congêneres.
180103,18.01.03,Serviços de prevenção e gerência de riscos seguráveis e congêneres.
190101,19.01.01,"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres."
190102,19.01.02,Serviços de distribuição e venda de bingos e congêneres.
200101,20.01.01,"Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres. (prestado em terra)"
200102,20.01.02,"Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres. (prestado em águas marinhas)"
200201,20.02.01,"Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres."
200301,20.03.01,"Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres."
210101,21.01.01,"Serviços de registros públicos, cartorários e notariais."
220101,22.01.01,"Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais."
230101,23.01.01,Serviços de programação e comunicação visual e congêneres.
230102,23.01.02,Serviços de desenho industrial e congêneres.
240101,24.01.01,"Serviços de chaveiros, confecção de carimbos e congêneres."
240102,24.01.02,"Serviços de placas, sinalização visual, banners, adesivos e congêneres."
