codigo,codigo_formatado,descricao
070202,07.02.02,"Execução, por empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
070301,07.03.01,"Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia."
070302,07.03.02,"Elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
070401,07.04.01,Demolição.
070501,07.05.01,"Reparação, conservação e reforma de edifícios e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
070502,07.05.02,"Reparação, conservação e reforma de estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
070601,07.06.01,"Colocação e instalação de tapetes, carpetes, cortinas e congêneres, com material fornecido pelo tomador do serviço."
070602,07.06.02,"Colocação e instalação de assoalhos, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço."
070701,07.07.01,"Recuperação, raspagem, polimento e lustração de pisos e congêneres."
070801,07.08.01,Calafetação.
070901,07.09.01,"Varrição, coleta e remoção de lixo, rejeitos e outros resíduos quaisquer."
070902,07.09.02,"Incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
071001,07.10.01,"Limpeza, manutenção e conservação de vias e logradouros públicos, parques, jardins e congêneres."
071002,07.10.02,"Limpeza, manutenção e conservação de imóveis, chaminés, piscinas e congêneres."
071101,07.11.01,Decoração.
071102,07.11.02,"Jardinagem, inclusive corte e poda de árvores."
071201,07.12.01,"Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos."
071301,07.13.01,"Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres."
071601,07.16.01,"Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios."
071701,07.17.01,"Escoramento, contenção de encostas e serviços congêneres."
071801,07.18.01,"Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres."
071901,07.19.01,"Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo."
072001,07.20.01,"Aerofotogrametria (inclusive interpretação), cartografia, mapeamento e congêneres."
072002,07.20.02,"Levantamentos batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres."
072003,07.20.03,Levantamentos topográficos e congêneres.
072101,07.21.01,"Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais."
072201,07.22.01,Nucleação e bombardeamento de nuvens e congêneres.
080101,08.01.01,"Ensino regular pré-escolar, fundamental e médio."
080102,08.01.02,Ensino regular superior.
080201,08.02.01,"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza."
090101,09.01.01,"Hospedagem em hotéis, hotelaria marítima e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
090102,09.01.02,"Hospedagem em pensões, albergues, pousadas, hospedarias, ocupação por temporada com fornecimento de serviços e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
090103,09.01.03,"Hospedagem em motéis e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
090104,09.01.04,"Hospedagem em apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service e congêneres (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços)."
090201,09.02.01,"Agenciamento e intermediação de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres."
090202,09.02.02,"Organização, promoção e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres."
090301,09.03.01,Guias de turismo.
100101,10.01.01,"Agenciamento, corretagem ou intermediação de câmbio."
100102,10.01.02,"Agenciamento, corretagem ou intermediação de seguros."
100103,10.01.03,"Agenciamento, corretagem ou intermediação de cartões de crédito."
100104,10.01.04,"Agenciamento, corretagem ou intermediação de planos de saúde."
100105,10.01.05,"Agenciamento, corretagem ou intermediação de planos de previdência privada."
100201,10.02.01,"Agenciamento, corretagem ou intermediação de títulos em geral e valores mobiliários."
100202,10.02.02,"Agenciamento, corretagem ou intermediação de contratos quaisquer."
100301,10.03.01,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária."
100401,10.04.01,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing)."
100402,10.04.02,"Agenciamento, corretagem ou intermediação de contratos de franquia (franchising)."
100403,10.04.03,"Agenciamento, corretagem ou intermediação de faturização (factoring)."
100501,10.05.01,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, por quaisquer meios."
100502,10.05.02,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios."
100601,10.06.01,Agenciamento marítimo.
100701,10.07.01,Agenciamento de notícias.
100801,10.08.01,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios."
100901,10.09.01,"Representação de qualquer natureza, inclusive comercial."
101001,10.10.01,Distribuição de bens de terceiros.
110101,11.01.01,Guarda e estacionamento de veículos terrestres automotores.
110102,11.01.02,Guarda e estacionamento de aeronaves e de embarcações.
110201,11.02.01,"Vigilância, segurança ou monitoramento de bens, pessoas e semoventes."
110301,11.03.01,"Escolta, inclusive de veículos e cargas."
110401,11.04.01,"Armazenamento, depósito, guarda de bens de qualquer espécie."
110402,11.04.02,"Carga, descarga, arrumação de bens de qualquer espécie."
